Product Name,Keywords,Description,Type,Collection,Fiber,Cap Size,Handtied,Special Order
Savanna,"full cap wig, long, curly",Savanna has all day long sultry curls. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Savvy,RTW lace front; mono top; hand-tied; long,"Dreamy, flowing layers with bouncy curls.  This is a great sister style to Bennett.  Amazing versatility that is paired with soft, wispy bangs.  Be a Goddess in this style maker wig.",RTW Lace Front; Monofusion,,Naturlite - Tony of Beverly's Exclusive blend of certified synthetic fiber,standard,Y,Y
Shaper,"hair piece, integration",,Hairpiece,,Naturlite - Tony of Beverly's Exclusive blend,N/A,N,Y
Shift,"hair piece, snappy clip, claw clip",Sultry waves of locks. Shift your fashion into high gear.,Hairpiece,,Naturlite - Tony of Beverly's Exclusive blend,N/A,N,Y
Sonya,"capless wig, soft curl",Sonya has classic soft curls all over with a soft bang. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Spring,"capless wig, soft touch collection, short, tapered",Spring has wispy layers that frame the face and ends with a tapered nape. Soft Touch Collection wigs are made with light and airy caps with a finer fiber for a Soft Touch experience.,Wig,Soft Touch,Tony of Beverly Exclusive Soft Touch blend,standard,N,Y
Swing,"hair piece, snappy clip, claw clip",A danching layered ponytail. Swing yourself some style.,Hairpiece,,Naturlite - Tony of Beverly's Exclusive blend,N/A,N,Y
Swirly,"hair piece, high heat fibers","Swirly is a twist-around hair piece with a soft curve.  High-heat fibers allow it to be re-curlable, restyleable and straightened as well.",Hairpiece,,Tony of Beverly Exclusive Heat Resistant blend,N/A,N,N 
Tasha,"harp cap, ultimate fit wig, bob, paige, mid length","Tasha is a chin legth bob with elongated bangs, angled sides and a beveled nape. Our Cover girl is already a Best Seller. Ultimate Fit Wigs were designed to fit comfortably, snugly and the light weight materials make for a real Cool Fit.",Wig,Ultimate Fit,Tony of Beverly Exclusive blend,standard,N,Y
Tatum,modern bob; RTW lacefront; hand-tied monofusion,A modern bob with fringed bankgs and perfectly ends that frame the face.,Wig; RTW Lacefront,,Naturlite - Tony of Beverly's Exclusive blend,standard,Y,Y
